,Random Placement,Baseline Placement,Heuristic Placement,Q-Learning Placement,Parameter Learning Placement
0,4.4,1.54,3.18,1.48,4.4
1,4.23,1.44,3.28,1.62,4.43
2,4.49,1.63,3.21,1.43,4.24
3,4.38,1.7,3.11,1.73,4.08
4,4.4,1.74,2.69,1.73,4.44
5,4.38,1.62,3.2,1.51,4.29
6,4.35,1.71,3.06,1.5,4.38
7,4.35,1.83,3.13,1.49,4.2
8,4.32,1.69,2.89,1.75,4.35
9,4.49,1.81,3.36,1.37,3.97
10,4.23,1.81,3.26,1.46,4.24
11,4.56,1.73,3.27,1.62,3.82
12,4.4,1.66,3.15,1.43,4.36
13,4.3,1.58,3.21,1.62,4.29
14,4.47,1.56,3.23,1.59,4.15
15,4.21,1.71,2.95,1.62,4.51
16,4.28,1.91,3.01,1.42,4.38
17,4.37,1.74,2.84,1.53,4.52
18,4.31,1.76,3.29,1.38,4.26
19,4.31,1.56,3.09,1.74,4.3
20,4.25,1.82,3.24,1.49,4.2
21,4.19,1.56,3.07,1.67,4.51
22,4.26,1.63,3.17,1.74,4.2
23,4.22,1.6,2.99,1.64,4.55
24,4.14,1.59,3.3,1.54,4.43
25,4.33,1.52,3.42,1.62,4.11
26,4.42,1.64,3.1,1.56,4.28
27,4.33,1.98,2.93,1.36,4.4
28,4.43,1.54,3.3,1.5,4.23
29,4.51,1.45,3.06,1.88,4.1
30,4.08,1.67,3.47,1.49,4.29
31,4.22,1.73,3.08,1.55,4.42
32,4.37,1.7,3.16,1.51,4.26
33,4.24,1.51,3.21,1.6,4.44
34,4.26,1.7,3.09,1.58,4.37
35,4.38,1.8,3.07,1.44,4.31
36,4.18,1.74,3.22,1.48,4.38
37,4.38,1.68,3.21,1.39,4.34
38,4.4,1.68,2.9,1.65,4.37
39,4.31,1.5,3.32,1.54,4.33
40,4.25,1.6,3.15,1.5,4.5
41,4.35,1.59,3.15,1.67,4.24
42,4.47,1.59,3.13,1.77,4.04
43,4.4,1.72,3.06,1.61,4.21
44,4.37,1.73,3.04,1.52,4.34
45,4.26,1.65,3.04,1.65,4.4
46,4.26,1.64,3.16,1.61,4.33
47,4.32,1.84,2.82,1.61,4.41
48,4.34,1.55,3.3,1.53,4.28
49,4.35,1.73,3.16,1.47,4.29
50,4.37,1.85,2.97,1.49,4.32
51,4.19,1.64,3.18,1.7,4.29
52,4.33,1.53,3.24,1.63,4.27
53,4.25,1.55,3.06,1.63,4.51
54,4.5,1.72,3.31,1.61,3.86
55,4.18,1.65,3.17,1.67,4.33
56,4.17,1.49,3.33,1.56,4.45
57,4.35,1.76,3.08,1.57,4.24
58,4.31,1.59,3.07,1.6,4.43
59,4.36,1.64,3.16,1.65,4.19
60,4.27,1.61,3.05,1.58,4.49
61,4.42,1.57,3.19,1.56,4.26
62,4.34,1.67,3.2,1.39,4.4
63,4.43,1.57,3.09,1.59,4.32
64,4.22,1.44,3.08,1.75,4.51
65,4.31,1.86,3.07,1.41,4.35
66,4.3,1.43,3.14,1.83,4.3
67,4.34,1.52,3.44,1.62,4.08
68,4.39,1.85,3.02,1.43,4.31
69,4.42,1.83,3.23,1.37,4.15
70,4.44,1.69,3.1,1.76,4.01
71,4.34,1.74,3.36,1.37,4.19
72,4.41,1.73,3.14,1.47,4.25
73,4.47,1.77,3.1,1.44,4.22
74,4.26,1.66,3.33,1.48,4.27
75,4.38,1.97,2.87,1.38,4.4
76,4.34,1.77,3.13,1.51,4.25
77,4.37,1.57,3.16,1.57,4.33
78,4.46,1.59,3.27,1.47,4.21
79,4.19,1.62,3.17,1.56,4.46
80,4.38,1.64,3.25,1.47,4.26
81,4.22,1.48,3.16,1.59,4.55
82,4.39,1.59,3.07,1.68,4.27
83,4.46,1.62,3.18,1.57,4.17
84,4.25,1.65,3.23,1.42,4.45
85,4.37,1.69,3.3,1.41,4.23
86,4.35,1.6,3.19,1.72,4.14
87,4.48,1.6,3.11,1.55,4.26
88,4.41,1.56,3.14,1.62,4.27
89,4.39,1.56,3.02,1.6,4.43
90,4.38,1.68,3.23,1.42,4.29
91,4.22,1.61,3.19,1.48,4.5
92,4.24,1.67,3.23,1.48,4.38
93,4.31,1.73,3.18,1.43,4.35
94,4.33,1.56,3.14,1.6,4.37
95,4.24,1.64,3.04,1.52,4.56
96,4.43,1.71,3.16,1.44,4.26
97,4.45,1.63,3.1,1.53,4.29
98,4.36,1.65,3.09,1.47,4.43
99,4.34,1.63,2.94,1.6,4.49
